Shop_ID,shopName,avg_rating_point,days_since_joined,review_count,total_follower
1,Tiki Trading,4.6679,2144,5318972,473372
63,Viễn Tin Sài Gòn,4.638,2253,826,237
2350,xuanhongmobile,4.489,1862,182,170
9141,HƯNG LONG,3.8756,1715,201,159
10016,Antam Trading,4.5,1699,2348,1671
11119,GIA DỤNG VIỆT,4.3641,1680,6812,1080
20704,HAPPY PHONE,4.7684,1353,2461,6903
29952,Hồng Hạnh Mobile,4.7304,1499,2470,14235
34716,GiaPhucStore,4.5928,1491,2409,781
39195,Tech Shark,4.5764,1490,1067,812
69946,Thế giới hàng tốt,0.0,1373,0,2
77917,Phonestore,4.547,1336,298,346
80348,MiSun Store,4.6479,1329,1934,1323
91934,Phụ kiện SS Authentic,4.7884,1282,1021,531
118795,MediaMart Official Store,4.6661,1066,545,1993
122357,Xiaomi Official Stores,4.7661,801,838,3114
128602,Điện máy nội thất Đại Phát Vĩnh Lộc,4.4706,1088,51,76
130073,ITEL Official Store,4.7536,888,69,30
150440,Viettel Store Official,4.4706,365,34,168
162061,minhphuc186,4.6624,868,237,150
162514,Long Hưng TechZone,4.7155,869,2204,5193
179232,THẮNG THAO MOBILE,4.5723,764,1812,1825
186025,RedMagic Official,4.8889,713,18,269
189668,Tecno Official Store,4.8,715,950,1584
212607,Nguyễn Kim Official,4.8144,561,1083,1119
213861,OPPO Official Store,4.7651,644,1724,6178
222120,Nokia Mobile,4.869,609,84,4886
223387,Di ĐỘNG IZ,4.7377,609,934,216
235971,vivo Official Store,4.7143,540,28,371
241708,Trung Tâm Công Nghệ HIVITA,0.0,549,0,0
259709,ZTE Official Store,5.0,492,3,105
259954,MT Smart Official Store ,5.0,440,4,24
261128,SamCenter,4.6868,485,265,471
297110,O-TECH SHOP,0.0,290,0,50
325466,LONG TÂM Mobile,5.0,101,3,22
331898,OnePlus Official Store,0.0,8,0,27
